title name;genre;MPAA_rating;rating
Shining Vale;Comedy,Fantasy,Horror,;TV-MA,;6.9
A Million Little Things;Comedy,Drama,Romance,;TV-14,;7.9
American Idol;Game-Show,Music,Reality-TV,;TV-PG,;4.2
9-1-1: Lone Star;Action,Drama,Thriller,;TV-14,;7.1
Chicago P.D.;Action,Crime,Drama,Thriller,;TV-14,;8.1
Law & Order: Special Victims Unit;Crime,Drama,Mystery,Thriller,;TV-14,TV-PG,;8.1
The Batman;Action,Crime,Drama,Thriller,;PG-13,;7.8
We're the Millers;Comedy,Crime,;TV-14,R,R,;7.0
Jumper;Action,Adventure,Sci-Fi,Thriller,;PG-13,;6.1
The Hating Game;Comedy,Romance,;R,;6.2
Venom: Let There Be Carnage;Action,Sci-Fi,Thriller,;PG-13,;5.9
About Last Night;Comedy,Drama,Romance,;TV-14,R,;6.2
The Wolf of Wall Street;Biography,Comedy,Crime,Drama,;TV-MA,TV-14,R,;8.2
Thor: The Dark World;Action,Adventure,Fantasy,;TV-14,PG-13,;6.8
John and the Hole;Drama,Horror,Thriller,;R,;5.2
Waist Deep;Action,Crime,Drama,Thriller,;R,;5.8
The Kardashians;Drama,Reality-TV,;TV-14,;4.7
Power Book IV: Force;Crime,Drama,;TV-MA,;8.1
The First Lady;Biography,Drama,History,;TV-MA,;7.1
The Girl From Plainville;Biography,Crime,Drama,;TV-MA,;6.3
Saturday Night Live;Comedy,Music,;TV-PG,TV-14,TV-14,;8.0
This Is Us;Comedy,Drama,Romance,;TV-14,TV-PG,;8.7
9-1-2001;Action,Drama,Thriller,;TV-14,;7.8
Outlander;Drama,Fantasy,Romance,;TV-MA,PG,;8.4
Bob's Burgers;Animation,Comedy,;TV-PG,TV-14,TV-14,;8.2
Law & Order: Special Victims Unit;Crime,Drama,Mystery,Thriller,;TV-14,TV-PG,;8.1
Venom: Let There Be Carnage;Action,Sci-Fi,Thriller,;PG-13,;5.9
The Batman;Action,Crime,Drama,Thriller,;PG-13,;7.8
The Forever Purge;Action,Crime,Horror,Thriller,;R,;5.4
Ooops! The Adventure Continues;Animation,Adventure,Comedy,Family,;Not Rated,;5.8
Run;Mystery,Thriller,;PG-13,;6.7
Venom;Action,Adventure,Sci-Fi,;TV-MA,PG-13,;6.6
Don't Breathe 2;Action,Crime,Horror,Thriller,;R,;6.0
Rise of the Planet of the Apes;Action,Drama,Sci-Fi,Thriller,;PG-13,;7.6
Free Guy;Action,Adventure,Comedy,Fantasy,Sci-Fi,;PG-13,;7.1
The Wolf of Wall Street;Biography,Comedy,Crime,Drama,;TV-MA,TV-14,R,;8.2
Outlander;Drama,Fantasy,Romance,;TV-MA,PG,;8.4
The Kardashians;Drama,Reality-TV,;TV-14,;4.7
Bob's Burgers;Animation,Comedy,;TV-PG,TV-14,TV-14,;8.2
Family Guy;Animation,Comedy,;TV-14,TV-14,TV-G,TV-MA,TV-PG,TV-MA,;8.2
The Rookie;Action,Crime,Drama,;TV-14,;8.0
The Girl From Plainville;Biography,Crime,Drama,;TV-MA,;6.3
This Is Us;Comedy,Drama,Romance,;TV-14,TV-PG,;8.7
The First Lady;Biography,Drama,History,;TV-MA,;7.1
Mayans M.C.;Crime,Drama,Thriller,;TV-MA,;7.6
