title link;rank;title name;exclusive;cumulative_rank;Type;platform;week_num
flixpatrol.com/title/attack-on-titan/;3;Attack on Titan;;;TV Shows;Hulu;8
flixpatrol.com/title/2020-1978/;4;20/20;;;TV Shows;Hulu;8
flixpatrol.com/title/single-drunk-female/;5;Single Drunk Female;;;TV Shows;Hulu;8
flixpatrol.com/title/power-book-ii-ghost/;6;Power Book II: Ghost;;;TV Shows;Hulu;8
flixpatrol.com/title/abbott-elementary/;7;Abbott Elementary;;;TV Shows;Hulu;8
flixpatrol.com/title/general-hospital/;8;General Hospital;;;TV Shows;Hulu;8
flixpatrol.com/title/law-order-special-victims-unit/;9;Law & Order: Special Victims Unit;;;TV Shows;Hulu;8
flixpatrol.com/title/family-guy/;10;Family Guy;;;TV Shows;Hulu;8
flixpatrol.com/title/the-kings-man/;1;The King's Man;;;Movies;Hulu;9
flixpatrol.com/title/dont-breathe-2/;2;Don't Breathe 2;;;Movies;Hulu;9
flixpatrol.com/title/free-guy/;3;Free Guy;;;Movies;Hulu;9
flixpatrol.com/title/escape-room-tournament-of-champions/;4;Escape Room: Tournament of Champions;;;Movies;Hulu;9
flixpatrol.com/title/spider-man-homecoming/;5;Spider-Man: Homecoming;;;Movies;Hulu;9
flixpatrol.com/title/old-henry/;6;Old Henry;;;Movies;Hulu;9
flixpatrol.com/title/no-exit/;7;No Exit;;;Movies;Hulu;9
flixpatrol.com/title/what-breaks-the-ice/;8;What Breaks the Ice;;;Movies;Hulu;9
flixpatrol.com/title/antlers/;9;Antlers;;;Movies;Hulu;9
flixpatrol.com/title/venom-2018/;10;Venom;;;Movies;Hulu;9
flixpatrol.com/title/euphoria/;1;Euphoria;;;TV Shows;Hulu;9
flixpatrol.com/title/power-book-iv-force/;2;Power Book IV: Force;;;TV Shows;Hulu;9
flixpatrol.com/title/how-i-met-your-father/;3;How I Met Your Father;;;TV Shows;Hulu;9
flixpatrol.com/title/law-order-special-victims-unit/;4;Law & Order: Special Victims Unit;;;TV Shows;Hulu;9
flixpatrol.com/title/9-1-1-lone-star/;5;9-1-1: Lone Star;;;TV Shows;Hulu;9
flixpatrol.com/title/pam-tommy/;6;Pam & Tommy;;;TV Shows;Hulu;9
flixpatrol.com/title/billions/;7;Billions;;;TV Shows;Hulu;9
flixpatrol.com/title/general-hospital/;8;General Hospital;;;TV Shows;Hulu;9
flixpatrol.com/title/the-cleaning-lady-2022/;9;The Cleaning Lady;;;TV Shows;Hulu;9
flixpatrol.com/title/american-dad/;10;American Dad!;;;TV Shows;Hulu;9
flixpatrol.com/title/no-exit/;1;No Exit;;;Movies;Hulu;10
flixpatrol.com/title/free-guy/;2;Free Guy;;;Movies;Hulu;10
flixpatrol.com/title/dont-breathe-2/;3;Don't Breathe 2;;;Movies;Hulu;10
